Nom de la Solution ;Entreprise;App Full Web;App Serveur client locale;inventaire du Patrimoine;Cartographie du Patrimoine;Maquette BIM;Exploitation de la maquette;Géoréférencement dans la maquette;Plans 3D;Plan 2D;Scan photos;Exploitation des scans;Géoréférencement dans les scans;Affichage dynamique sur les scans;Visite Virtuelle ;Réalité augmentée (RA);Adresse;Dates clées;Surfaces;Contacts;Info locataires;Données techniques;Interface GTB existante;Déploiement GTB;Interaction GTB;Intégration IOT;Dataroom;Arborescence libre;Ajout / sup de fichiers;Géoréférencement fichiers équipements;Photos;Partage de fichiers;Sécurisation des fichiers;Contrôles réglementaire;Outil de planification des échances réglementaires;Tableau de bord;Données batiment;Données techniques;Suivi des factures;Courbe de charge;Etiquette energétique;Répartition énergétique;Indicateur du Batiment;HeatMap;Multifluides;Arborescence de comptage;Analyse par compteur;Comparaison des compteurs;Analyse temporelle;Notation des compteurs;Plan d'actions;Suivi des plans d'actions;Saisie des objectifs;Analyse par fluides;Conso mensuelles;Conso cumulés;DJU ( DJC/DJF);Accompagnement par un Energy Manager ;Données météorologiques;Interface Decret Tertiaire;Suivi objectifs Decret Tertiaire;Tableau de bord;Multi lots;Auto attribution;Suvi d'avancement;Géoréférencement des désordres;Ajout de photos;Alertes;Ajout appli tierces;Interopérabilités des appli tierces;Solution ouverte;Réversibilité;Intégration de données par les utilisateurs;Evolutivité;MàJ des applications;MàJ des Scans;MàJ Maquette;Compatibilité sys d'exploitation;Analyse des données par IA;"Compatibilité 
smartphone /tablette /pc";Températures;Control;Alarmes;;;;;;;oui;non;NC
SEXTANT;NEXTiiM;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;;;;;;;OUI;NON;NC
N'Gage;ENERGISME;OUI;NC;NC;OUI;OUI;OUI;NON;OUI;NON;OUI;OUI;NON;NON;NON;NON;OUI;NC;OUI;NC;NC;OUI;NON;NON;NON;NC;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;OUI;NC;OUI;OUI;OUI;OUI;OUI;NON;OUI;NC;NON;NON;OUI;NC;OUI;OUI;NC;NC;OUI;OUI;OUI;OUI;NC;OUI;OUI;NON;NON;NON;NON;NON;NON;OUI;NC;NC;NC;NC;NC;NC;NC;NC;NC;OUI;NC;OUI;NC;NC;NC;;;;;;;;;
Wattsense Tower;WATTSENSE;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NC;NC;OUI;NON;OUI;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;OUI;OUI;NON;OUI;NON;OUI;OUI;NON;OUI;NON;OUI;OUI;OUI;NON;NON;NON;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;NC;NON;OUI;OUI;OUI;OUI;;;;;;;;;
Smart Monitoring;SMART IMPULSE;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NC;NC;OUI;NON;OUI;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;NON;NON;NON;OUI;NON;OUI;NON;OUI;OUI;OUI;NON;OUI;OUI;NON;OUI;NON;NON;NON;OUI;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NC;NON;OUI;NON;NON;OUI;;;;;;;;;
Spark;EKIVOLT;OUI;NON;NC;NC;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NC;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;NC;NON;NC;NC;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NC;NC;NC;NC;OUI;OUI;OUI;NC;NC;NC;NC;NC;OUI;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;OUI;NC;NC;NC;;;;;;;;;
Citron Energie;CITRON;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;OUI;OUI;NC;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;;;;;;;;;
Advizeo;Advizeo;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NON;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;;;;;;;;;
Beebryte;Beebryte;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NC;NC;OUI;NON;OUI;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NC;NC;OUI;NC;NC;NC;NC;NC;OUI;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;OUI;OUI;OUI;OUI;OUI;;;;;;;;;
Beeldi;Beeldi;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON;NON;OUI;OUI;OUI;OUI;NON;OUI;NC;NC;NC;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;OUI;OUI;OUI;NC;NC;NC;NC;NC;NC;OUI;OUI;OUI;NC;NC;OUI;NC;OUI;OUI;NC;NC;NC;NC;OUI;NC;NC;NC;NC;NC;OUI;OUI;NC;NC;NC;;;;;;;;;
Deepki;Deepki;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON;OUI;NC;NC;OUI;NC;OUI;OUI;NC;NC;OUI;NC;NC;OUI;NC;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NC;OUI;OUI;OUI;NC;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;OUI;OUI;OUI;;;;;;;;;
